| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| PGC1989794 | S2 | 1274.3270 | 1.1756 | 4156.7793 | 3.8311 |
| PGC3128854 | S2 | 1896.3191 | 1.7318 | 23334.7612 | 21.2908 |
| PGC2106279 | S2 | 1421.9763 | 1.2915 | 118102.1979 | 107.1708 |
| 2MASXJ07344147+3927281 | S2 | 1106.9990 | 1.0091 | 4233.3317 | 3.8555 |
| PGC2630782 | S2 | 1280.9168 | 1.1467 | 28769.7218 | 25.7332 |
| PGC2610697 | S2 | 1331.9820 | 1.1375 | 6571.8481 | 5.6074 |
| PGC097527 | S2 | 1172.1912 | 1.0010 | 4347.6361 | 3.7096 |
| PGC2629320 | S2 | 1185.7562 | 1.0109 | 5253.5677 | 4.4749 |
| PGC2615419 | S2 | 1179.0001 | 1.0000 | 4754.6284 | 4.0293 |
| PGC3137610 | S2 | 1290.0942 | 1.1141 | 5460.3518 | 4.7113 |
| PGC3137984 | S2 | 1145.6861 | 1.0032 | 5511.0612 | 4.8216 |
| PGC2626480 | S2 | 1573.4512 | 1.3790 | 8320.6895 | 7.2861 |
| PGC2603859 | S2 | 1414.7413 | 1.2175 | 6101.7691 | 5.2466 |
| PGC3136929 | S2 | 1278.5930 | 1.0872 | 7567.6090 | 6.4296 |
| PGC3139123 | S2 | 1171.3493 | 1.0003 | 4886.8761 | 4.1697 |
| SDSSJ095325.76+640408.3 | S2 | 1260.4476 | 1.0746 | 5102.0662 | 4.3459 |
| PGC3136645 | S2 | 1258.4697 | 1.0683 | 4680.6339 | 3.9700 |
| PGC3132136 | S2 | 1186.0231 | 1.0128 | 3824.7211 | 3.2634 |
| PGC2498266 | S2 | 1176.5214 | 1.0064 | 4481.8289 | 3.8306 |
| PGC3136258 | S2 | 1172.0038 | 1.0000 | 4441.6177 | 3.7865 |
| PGC2402303 | S2 | 1195.7367 | 1.0194 | 4427.4548 | 3.7713 |
| PGC3095851 | S2 | 1178.9652 | 1.0025 | 4756.4880 | 4.0412 |
| PGC2477653 | S2 | 1198.7475 | 1.0246 | 5394.7134 | 4.6069 |
| PGC2445034 | S2 | 1176.6394 | 1.0005 | 4277.3587 | 3.6341 |
| PGC2562349 | S2 | 1252.3280 | 1.0640 | 4146.3303 | 3.5198 |
| PGC3133290 | S2 | 1182.1659 | 1.0104 | 4800.0624 | 4.0991 |
| PGC2420217 | S2 | 1233.0637 | 1.0467 | 4009.7745 | 3.4010 |
| PGC3132560 | S2 | 1291.6294 | 1.1030 | 5311.3030 | 4.5318 |
| PGC2468769 | S2 | 1176.4272 | 1.0012 | 4258.0647 | 3.6208 |
| PGC3133943 | S2 | 1222.8024 | 1.0389 | 4085.6605 | 3.4683 |
| PGC2399787 | S2 | 1235.8116 | 1.0491 | 4296.1710 | 3.6439 |
| PGC3133208 | S2 | 1332.3159 | 1.1770 | 19513.6224 | 17.2230 |
| PGC2452202 | S2 | 1183.3104 | 1.0079 | 4260.2061 | 3.6257 |
